번호,구분,제안자,요청 사항,작업 내용,수정 파일,해결됨
14,개발 개선,Brian Sungwook Jung,저작권 푸터,더보기 하단에 저작권 표기 삽입,© 2026-04-10 Made by Brian Sungwook Jung / Powered by Claude AI (Anthropic),app/(app)/more/page.tsx,
15,개발 개선,Brian Sungwook Jung,제안 페이지 타이틀 변경,제안 게시판 → 제안으로 축약,헤더 h1 및 더보기 메뉴 label 수정,"components/SuggestionsClient.tsx, app/(app)/more/page.tsx",
16,개발 개선,Brian Sungwook Jung,해결 버튼 텍스트 변경,미해결 상태 버튼 해결됨? → 해결?,조건부 텍스트 렌더링 수정,components/SuggestionsClient.tsx,
17,개발 개선,Brian Sungwook Jung,Admin 전체 콘텐츠 삭제 권한,"모든 게시물(제안·투표·댓글)에 admin 삭제 권한 부여","제안/투표/댓글 삭제 버튼 UI + DELETE API 3개 신규 생성","components/SuggestionsClient.tsx, components/VotesClient.tsx, 신규 API 3개",
18,개발 개선,Brian Sungwook Jung,멤버 목록 임시 숨김,"방수진·문지연·최유미 DB 유지, 멤버 화면에서만 숨김",getMembers() 쿼리에 .neq() 필터 3개 추가,app/(app)/members/page.tsx,
19,개발 개선,Brian Sungwook Jung,홈화면 진행 중인 투표 섹션,투표 생성 시 홈화면에도 표시,"getData()에 votes 쿼리 추가, 일정~채팅 사이에 섹션 표시, D-Day 배지",app/(app)/page.tsx,
20,개발 개선,Brian Sungwook Jung,@멘션 기능,채팅에서 @이름 입력 시 자동완성 + 해당 멤버에게 알림,"자동완성 드롭다운, 메시지 내 하이라이트, mention_notifications DB 저장, 홈화면 새 멘션 카드, 읽음 처리","components/chat/MessageInput.tsx, MessageItem.tsx, ChatRoomClient.tsx, layout.tsx, API",
21,개발 개선,Brian Sungwook Jung,하단 네비게이션 아이콘 색상 변경,"4개 탭이 모두 비슷한 색감, 각각 뚜렷하게 다른 색으로 변경","홈 coral 유지, 채팅→핫핑크 #E91E8C, 일정→앰버 #F59E0B, 더보기→바이올렛 #7C3AED",components/BottomNav.tsx,
22,버그 수정,Brian Sungwook Jung,프로필 사진 업로드 수정,프로필 사진 변경이 여러 차례 시도해도 반영 안 됨,"public URL 우선 사용, 실패 시 signed URL(10년) 자동 전환. iOS HEIC 포맷 허용 추가",app/api/user/avatar/route.ts,
23,개발 개선,Brian Sungwook Jung,멤버 승인 요청 알림 뱃지,가입 대기 멤버 수를 admin 화면에서 알림으로 표시,"layout에서 pending count 조회, BottomNav 더보기 아이콘에 빨간 뱃지, 더보기 메뉴 항목에 숫자 뱃지","app/(app)/layout.tsx, components/BottomNav.tsx, app/(app)/more/page.tsx",
24,버그 수정,Brian Sungwook Jung,제안 댓글 등록 안 되는 버그 수정,댓글 등록 시 에러가 있어도 사용자에게 표시 안 됨 + suggestion_comments 테이블 미생성 가능성,"postComment에 try/catch + 에러 메시지 표시, useEffect로 로드 방식 개선","components/SuggestionsClient.tsx, supabase/suggestion_comments_migration.sql",
25,앱 내 제안,서정욱,하이라이트 기능 추가,"a/b/c라는 멤버가 장문의 글 올릴 경우, 핵심 내용만 형광펜으로 칠하기. 특정 하이라이트 기능 누르면 내가 형광펜 칠한 부분만 보여주기. 키워드 및 줄친글만 보여주기",(미구현 - 검토 필요),,
26,앱 내 제안,서정욱,채팅방 개선,"메시지창 사진 아래쪽에 이름 및 작성시간 표시, 기본 프로필 구역과 메시지 구역 좌우 구분",(미구현 - 검토 필요),,
27,앱 내 제안,(작성자 추가 필요),(전체방 제안사항 추가 필요),(미구현),,
